"Pokemon","Fast Move","Charged Move","DPS","TDO","DPS^3*TDO","CP"
"Mega Mewtwo Y","Confusion","Psystrike","26.355","999.7","18299.9","5610"
"Mega Mewtwo Y","Psycho Cut","Psystrike","26.207","994.1","17893.2","5610"
"Mega Mewtwo X","Confusion","Psystrike","25.513","967.8","16073.1","5429"
"Shadow Mewtwo","Confusion","Psystrike","25.4","662.7","10859.6","4178"
"Mega Mewtwo X","Psycho Cut","Psystrike","25.38","962.8","15739.4","5429"
"Shadow Mewtwo","Psycho Cut","Psystrike","25.328","660.8","10735.8","4178"
"Mega Mewtwo Y","Confusion","Psychic","24.582","932.5","13850.6","5610"
"Mega Mewtwo Y","Psycho Cut","Psychic","24.106","914.4","12809.9","5610"
"Mega Mewtwo X","Confusion","Psychic","23.797","902.7","12165.1","5429"
"Shadow Mewtwo","Confusion","Psychic","23.63","616.5","8134.4","4178"
"Mega Lucario","Counter","Aura Sphere","23.474","636.7","8235.1","3826"
"Mega Mewtwo X","Psycho Cut","Psychic","23.345","885.6","11267.6","5429"
"Shadow Mewtwo","Psycho Cut","Psychic","23.257","606.8","7632.6","4178"
"Mega Gengar","Lick","Shadow Ball","23.173","643.5","8008.2","4336"
"Mega Gengar","Shadow Claw","Shadow Ball","23.104","641.6","7913","4336"
"Mega Alakazam","Confusion","Psychic","23.061","589.5","7230.5","4366"
"Mega Blaziken","Counter","Blast Burn","23.048","660","8081.2","4161"
"Mega Mewtwo Y","Confusion","Shadow Ball","22.821","865.7","10288.3","5610"
"Mega Blaziken","Fire Spin","Blast Burn","22.715","650.5","7624.4","4161"
"Mega Lucario","Bullet Punch","Aura Sphere","22.707","615.9","7211.1","3826"
"Mega Rayquaza","Dragon Tail","Outrage","22.664","832.6","9692.8","5055"
"Mega Alakazam","Psycho Cut","Psychic","22.652","579.1","6730.8","4366"
"Mega Sceptile","Fury Cutter","Frenzy Plant","22.45","644.2","7288.8","4056"
"Mega Mewtwo X","Confusion","Focus Blast","22.447","851.5","9631.2","5429"
"Mega Gengar","Hex","Shadow Ball","22.377","621.5","6963.7","4336"
"Mega Gengar","Shadow Claw","Sludge Bomb","22.21","616.8","6757.3","4336"
"Shadow Salamence","Dragon Tail","Outrage","22.163","541.8","5898.5","3749"
"Mega Alakazam","Counter","Psychic","22.109","565.2","6107.9","4366"
"Mega Gengar","Lick","Sludge Bomb","22.103","613.8","6628.2","4336"
"Mega Mewtwo X","Confusion","Shadow Ball","22.093","838.1","9036.9","5429"
"Mega Mewtwo Y","Psycho Cut","Shadow Ball","22.03","835.7","8935","5610"
"Shadow Mewtwo","Confusion","Shadow Ball","21.873","570.6","5971.5","4178"
"Deoxys (Attack Forme)","Zen Headbutt","Dark Pulse","21.856","140.6","1468.2","2580"
"Mega Mewtwo X","Psycho Cut","Focus Blast","21.849","828.8","8645.6","5429"
"Mega Charizard Y","Fire Spin","Blast Burn","21.764","758","7814.8","4455"
"Shadow Metagross","Bullet Punch","Meteor Mash","21.763","627","6462.6","3791"
"Mega Gengar","Sucker Punch","Shadow Ball","21.744","603.9","6208.5","4336"
"Deoxys (Attack Forme)","Poison Jab","Dark Pulse","21.686","139.5","1423.2","2580"
"Mega Garchomp","Dragon Tail","Outrage","21.686","996.6","10163.9","5424"
"Mega Blaziken","Counter","Blaze Kick","21.556","617.3","6182.7","4161"
"Mega Rayquaza","Air Slash","Outrage","21.553","791.8","7928.1","5055"
"Shadow Salamence","Dragon Tail","Draco Meteor","21.532","526.4","5254.9","3749"
"Mega Mewtwo Y","Confusion","Thunderbolt","21.48","814.8","8076.1","5610"
"Mega Mewtwo Y","Confusion","Hyper Beam","21.475","814.6","8068.1","5610"
"Mega Alakazam","Confusion","Shadow Ball","21.44","548.1","5401.2","4366"
"Mega Charizard Y","Wing Attack","Blast Burn","21.392","745.1","7293.5","4455"
"Mega Mewtwo X","Psycho Cut","Shadow Ball","21.336","809.3","7860.5","5429"
"Mega Alakazam","Confusion","Future Sight","21.327","545.2","5289","4366"
"Mega Blaziken","Counter","Overheat","21.311","610.3","5907","4161"
"Mega Sceptile","Bullet Seed","Frenzy Plant","21.305","611.3","5911.4","4056"
"Mega Mewtwo Y","Confusion","Focus Blast","21.25","806.1","7735.8","5610"
"Shadow Salamence","Fire Fang","Outrage","21.22","518.8","4957","3749"
"Shadow Mewtwo","Psycho Cut","Shadow Ball","21.213","553.4","5282.4","4178"
"Shadow Alakazam","Confusion","Psychic","21.197","359.2","3420.8","3057"
"Mega Gengar","Hex","Sludge Bomb","21.172","588","5579.9","4336"
"Shadow Metagross","Zen Headbutt","Meteor Mash","21.128","608.7","5740.4","3791"
"Mega Blaziken","Fire Spin","Blaze Kick","21.127","605","5705.6","4161"
"Mega Banette","Shadow Claw","Shadow Ball","21.084","498.5","4672.3","3594"
"Shadow Moltres","Fire Spin","Sky Attack","21.042","529.5","4933.1","3465"
